id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
552;OMEN by HP GT13-0004nc Black;31193;25779;;;As good as new;;;;AMD Ryzen 7;AMD RYZEN 7 3700X;8.0;;4.4;65.0;16.0;DDR4;AMD Radeon RX;5700XT;['Windows 10 Home'];['SSD', 'HDD'];1512.0;512.0;['SATA III', 'PCIe'];;;;;2.0;1.0;DVI, HDMI, DisplayPort;165.0;;422.0;433.0;['Mouse', 'Keyboard'];['Gaming'];['Bluetooth', 'Wi-Fi'];500.0;HP OMEN;3.6;32.0;;8.0;2560.0;GeForce VR-Ready;AM4;['PCI Express x16'];;;;;;;Micro Tower;;;;3200.0;32.0;2.0;2.0;2.0;4.0;['Combo Audio Jack', 'LAN', 'Microphone input'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;['WiFi 802.11ax'];;;;;7200.0;1024.0;
553;OMEN GT13-0038nc Black Liquid Cooling;58009;47941;5.0;1.0;As good as new;;;;Intel Core i7;Intel Core i7 10700K Comet Lake;8.0;;5.1;125.0;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 10 Home'];['SSD'];2000.0;2000.0;;;;;;2.0;1.0;HDMI, DisplayPort;165.0;;422.0;433.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];;HP OMEN;3.8;16.0;['Automatic Overclocking', 'HyperThreading', 'Low energy consumption', 'Virtualization Support'];10.0;;GeForce VR-Ready;;;;;;;;;Micro Tower;;;;3200.0;;;;2.0;4.0;;Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];['Windows 11 compatible'];['WiFi 802.11ax'];;;;;;;
554;Alza BattleBox Alder RTX3080 Ti Lian Li;82991;68588;3.7;3.0;Unsealed;;;;Intel Core i9;Intel Core i9 12900K Alder Lake;16.0;;5.2;241.0;64.0;DDR4;NVIDIA GeForce;RTX 3080 Ti;['Windows 11 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;2.0;HDMI, DisplayPort;272.0;;445.0;446.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Alza Battlebox;3.2;30.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];12.0;10240.0;;Intel LGA1700;;;;;;;;Midi Tower;;;;3600.0;;4.0;2.0;2.0;4.0;;Without Optical Drive;;;1.0;;;;;;;;No;;;
555;ASUS ROG Strix G10DK-R5600X0840 Gaming PC;19698;16279;;;Unsealed;;;;AMD Ryzen 5;AMD Ryzen 5 5600X;6.0;;4.6;65.0;8.0;DDR4;NVIDIA GeForce;GTX 1660 Ti;['Without Operating System'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;2.0;;DVI-D, HDMI, DisplayPort;180.0;;430.0;428.0;['Power cable'];['Gaming'];['Bluetooth', 'Wi-Fi'];500.0;ASUS ROG;3.7;32.0;['Automatic Overclocking', 'Virtualization Support'];6.0;;;;;;;;;1.0;;;;;;;64.0;4.0;1.0;;6.0;['Combo Audio Jack', 'PS/2', 'RJ-45 (LAN) 2.5Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;
556;ASUS ROG Strix GT35 G35CG-1170KF077T Star Black;46193;38176;;;Slightly used;;;;Intel Core i7;Intel Core i7 11700KF Rocket Lake;8.0;;5.0;;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 10 Home'];['SSD', 'HDD'];3000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;3.0;HDMI, DisplayPort;279.0;;433.0;501.0;;['Gaming'];['Water cooling', 'RGB backlight'];750.0;ASUS ROG;3.6;16.0;['Automatic Overclocking'];10.0;;GeForce VR-Ready;;['PCI Express x16', 'M.2', 'SATA III'];;;;;;;;;;;;64.0;4.0;2.0;6.0;2.0;;Without Optical Drive;;['Extended Warranty'];;;;['Windows 11 compatible'];;;;;Yes;7200.0;2048.0;
557;Asus Mini PC Chromebox 4 (G5007UN);18455;15252;;;Unsealed;;;;Intel Core i5;Intel Core i5 10210U Comet Lake;4.0;;4.2;25.0;8.0;DDR4;Intel;UHD Graphics;['Google Chrome OS'];['SSD'];128.0;128.0;;;;;;3.0;1.0;HDMI;149.0;;149.0;40.0;['Power adapter'];['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.6;6.0;['HyperThreading', 'Low energy consumption', 'Virtualization Support'];;;;Integrated CPU;;;;;;;;Micro Tower;;;;2666.0;;2.0;2.0;;2.0;['Combo Audio Jack', 'Kensington lock', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['WiFi 6 (802.11ax)'];;;;;;;
558;ASUS Mini PC PN41 (BBC130MV);4579;3784;4.0;1.0;Unsealed;;;;Intel Pentium;Intel Celeron N5100 Jasper Lake;4.0;;2.8;6.0;;no RAM;Intel;UHD Graphics;['Without Operating System'];['no storage'];;;;;;;;1.0;2.0;VGA D-SUB, HDMI, USB-C;115.0;;115.0;49.0;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;;1.1;4.0;['Automatic Overclocking', 'Low energy consumption', 'Virtualization Support'];;;;Integrated CPU;['M.2', 'SATA III'];;;;;;;Desktop;;;;;;2.0;;;4.0;['Kensington lock', 'RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Headphone input'];Without Optical Drive;;;;;;;;;;;;;;
559;MSI Vortex G65 6QD-061CZ SLI;17996;14873;;;Slightly used;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;MSI MEG Trident X 12VTE-067EU;41394;34210;;;As good as new;;;;Intel Core i7;Intel Core i7 12700K Alder Lake;12.0;;5.0;125.0;16.0;DDR5;NVIDIA GeForce;RTX 3070 Ti;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;1.0;HDMI, DisplayPort;396.57;;137.06;410.39;;['Gaming'];['Bluetooth', 'RGB backlight', 'Wi-Fi'];850.0;MSI Trident;3.6;25.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];8.0;;GeForce VR-Ready;Intel LGA1700;;0.0;2.0;0.0;0.0;1.0;2.0;Mini Tower;Front;Transparent;Tempered glass;4800.0;64.0;2.0;2.0;1.0;5.0;['7.1 Channel Audio(3 ports)', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;;;;;;;;;;
561;MSI Prestige P100 9SD-228EU;31136;25732;;;As good as new;;;;Intel Core i7;Intel Core i7 9700KF Coffee Lake;8.0;;4.9;95.0;32.0;DDR4;NVIDIA GeForce;RTX 2070 Super;['Windows 10 Pro'];['SSD', 'HDD'];3000.0;1000.0;['PCIe'];;;;;2.0;1.0;HDMI, DisplayPort;132.0;;372.0;406.0;;['Performance'];['Bluetooth', 'Wi-Fi'];650.0;MSI Prestige;3.6;12.0;['Automatic Overclocking'];8.0;2560.0;GeForce VR-Ready;Intel 1151;;;;;;;;Midi Tower;;;;2666.0;64.0;2.0;2.0;3.0;3.0;['7.1 Channel Audio(3 ports)', 'LAN', 'S/PDIF optical output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;['WiFi 802.11ax'];;;;;5400.0;2048.0;
562;MSI MAG Infinite S 10SI-082CZ;15390;12719;;;Slightly used;;;;Intel Core i5;Intel Core i5 10400F Comet Lake;6.0;;4.3;65.0;8.0;DDR4;NVIDIA GeForce;GTX 1660 SUPER;['Windows 10 Home'];['SSD', 'HDD'];1256.0;256.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;DisplayPort, HDMI 2.0b;128.0;;348.0;244.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];350.0;;2.9;12.0;['Automatic Overclocking', 'HyperThreading'];6.0;;;LGA1200;['SATA III'];;;;;;;Mini Tower;;;;2666.0;64.0;2.0;1.0;3.0;4.0;;Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;;;;;;;1024.0;
563;MSI MAG Infinite S 10SH-091CZ;21987;18171;5.0;1.0;As good as new;;;;Intel Core i5;Intel Core i5 10400F Comet Lake;6.0;;4.3;65.0;8.0;DDR4;NVIDIA GeForce;GTX 1660;['Windows 10 Home'];['SSD', 'HDD'];1256.0;256.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;DisplayPort, HDMI 2.0b;128.0;;348.0;244.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];350.0;;2.9;12.0;['Automatic Overclocking', 'HyperThreading'];6.0;;;LGA1200;['SATA III'];;;;;;;Mini Tower;;;;2666.0;64.0;2.0;1.0;3.0;4.0;['7.1 Channel Audio(3 ports)', 'LAN', 'S/PDIF optical output', 'Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;;;;;;;1024.0;
564;MSI MAG Codex X5 11TD-426EU;39894;32970;;;As good as new;;;;Intel Core i7;Intel Core i7 11700KF Rocket Lake;8.0;;4.9;125.0;32.0;DDR4;NVIDIA GeForce;RTX 3070 LHR;['Windows 10 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;;1.0;HDMI, DisplayPort;195.0;;515.0;466.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];750.0;MSI Codex;3.6;16.0;['Automatic Overclocking', 'HyperThreading'];8.0;;GeForce VR-Ready;LGA1200;['PCI Express x4', 'PCI Express x8', 'M.2'];;;;;;;Midi Tower;;;;3200.0;128.0;4.0;2.0;4.0;4.0;['7.1 Channel Audio(3 ports)', 'PS/2', 'RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];2.0;;;;;;;;;;;
565;MSI PRO DP130 11-008EU;19535;16145;;;Unsealed;;;;Intel Core i7;Intel Core i7 11700 Rocket Lake;8.0;;4.8;65.0;8.0;DDR4;Intel;UHD Graphics 750;['Windows 10 Pro'];['SSD'];256.0;256.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;VGA D-SUB, HDMI, DisplayPort;340.0;;430.0;97.0;;['Office'];['Bluetooth', 'Wi-Fi'];350.0;MSI Pro;2.5;16.0;;;;;LGA1200;;;;;;;;Desktop;;;;3200.0;64.0;2.0;1.0;6.0;4.0;['COM port', 'LAN', 'PS/2', 'Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;;;;;;;;;;
566;MSI MAG Codex 5 12TG-1227CZ;26850;22190;5.0;1.0;As good as new;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;VGA D-SUB, HDMI, DisplayPort;195.0;;515.0;466.0;;['Gaming'];['Bluetooth', 'RGB backlight', 'Wi-Fi'];500.0;MSI Codex;2.5;18.0;['Automatic Overclocking', 'HyperThreading'];8.0;;GeForce VR-Ready;Intel LGA1700;;0.0;2.0;0.0;2.0;1.0;1.0;Mini Tower;Top;Transparent;Tempered glass;3200.0;64.0;2.0;1.0;4.0;2.0;['7.1 Channel Audio(3 ports)', 'PS2', 'RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;['Windows 11 compatible'];;;19837.0;;Yes;;;
567;Acer Nitro N50-610 Gaming;28211;23315;5.0;1.0;Unsealed;;;;Intel Core i7;Intel Core i7 10700 Comet Lake;8.0;;4.8;65.0;16.0;DDR4;NVIDIA GeForce;RTX 2060;;['SSD'];1000.0;1000.0;;;;;;;1.0;;175.0;;386.0;392.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];;Acer Nitro;2.9;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];6.0;;;;['M.2'];;;;;;;Mini Tower;;;;2666.0;;1.0;1.0;;;['LAN', 'USB 3.1 Type-A'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];;;;;;;;;
568;Acer Nitro N50-620;28626;23658;5.0;1.0;As good as new;;;;Intel Core i5;Intel Core i5 11400F Rocket Lake;6.0;;4.4;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060 Ti;['Windows 10 Home'];['SSD', 'HDD'];1512.0;512.0;['M.2 (NVMe)'];;;;;1.0;2.0;HDMI, DisplayPort;175.0;;386.0;392.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];500.0;Acer Nitro;2.6;12.0;['Automatic Overclocking'];8.0;4864.0;GeForce VR-Ready;;['PCI Express x16', 'M.2'];;;;;;;Mini Tower;;;;2666.0;64.0;4.0;2.0;2.0;2.0;['LAN', 'RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;['WiFi 802.11 a/b/g/n/ac/ax'];;;;;7200.0;1024.0;
569;Acer Nitro N50-610 Gaming;26512;21911;5.0;1.0;As good as new;;;;Intel Core i7;Intel Core i7 10700 Comet Lake;8.0;;4.8;65.0;16.0;DDR4;NVIDIA GeForce;RTX 2060;;['SSD'];1000.0;1000.0;;;;;;;1.0;;175.0;;386.0;392.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];;Acer Nitro;2.9;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];6.0;;;;['M.2'];;;;;;;Mini Tower;;;;2666.0;;1.0;1.0;;;['LAN', 'USB 3.1 Type-A'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];;;;;;;;;
570;Acer Aspire TC-895;12473;10308;5.0;1.0;As good as new;;;;Intel Core i3;Intel Core i3 10100 Comet Lake;4.0;;4.3;65.0;8.0;DDR4;NVIDIA GeForce;GT 1030;;['HDD'];1000.0;;['SATA III'];;;;;;1.0;DVI, HDMI;163.0;;350.0;340.0;;['Gaming'];['Memory Card Reader', 'Wi-Fi'];300.0;Acer Aspire;3.6;6.0;['Automatic Overclocking'];2.0;384.0;;Intel FCLGA1200;['PCI Express x1', 'PCI Express x16'];;;;;;;Mini Tower;;;;2133.0;32.0;2.0;1.0;2.0;5.0;['Audio input (Line in)', 'Audio output (Line out)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;['WiFi 802.11a/b/g/n/ac'];2619.0;;;;;1024.0;
571;Acer Veriton Z4880G;14130;11678;;;Unsealed;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 11400 Rocket Lake;6.0;;4.4;65.0;8.0;DDR4;Intel;UHD Graphics;['Windows 10 Pro'];['SSD'];256.0;256.0;['PCIe'];;;;;2.0;;DisplayPort;541.0;;367.9;47.8;['Mouse', 'Keyboard'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];135.0;Acer Veriton;2.6;12.0;['Automatic Overclocking', 'HyperThreading'];;;;;;;;;;;;All In One;;;;2130.0;32.0;2.0;1.0;1.0;2.0;['RJ-45 (LAN) 2.5Gbps', 'Audio input (Line in)', 'Audio output (Line out)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
572;Acer ConceptD 500;55993;46275;;;Slightly used;;;;Intel Core i9;Intel Core i9 9900K Coffee Lake;;;5.0;95.0;32.0;DDR4;NVIDIA Quadro;RTX 4000;['Windows 10 Pro'];['SSD', 'HDD'];3000.0;1000.0;;;;;;;1.0;VGA D-SUB, HDMI;476.0;;204.0;439.0;;['Performance'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];500.0;Acer ConceptD;3.6;16.0;['HyperThreading'];8.0;;;;;;;;;;;Desktop;;;;;;4.0;2.0;4.0;5.0;['LAN', 'Audio input (Line in)', 'Audio output (Line out)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;7200.0;2048.0;
573;Acer Veriton ES2740G;10367;8568;1.0;1.0;As good as new;;;;Intel Core i3;Intel Core i3 10100 Comet Lake;4.0;;4.3;65.0;4.0;DDR4;Intel;HD Graphics;['Windows 10 Pro'];['SSD'];256.0;256.0;['PCIe'];;;;;;;VGA D-SUB, HDMI;160.0;;306.0;348.0;;['Office'];['Opticl drive'];180.0;Acer Veriton;3.6;6.0;['Automatic Overclocking'];;;;;['PCI Express x16', 'M.2'];;;;;;;Midi Tower;;;;2400.0;32.0;3.0;1.0;4.0;4.0;;DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;457.0;;;;;;
574;Dell Precision 3240 CFF;31864;26334;4.3;5.0;As good as new;;;;Intel Core i7;Intel Core i7 10700 Comet Lake;8.0;;4.8;65.0;16.0;DDR4;NVIDIA Quadro;P1000;['Windows 10 Pro'];['SSD'];512.0;512.0;;;;;;3.0;1.0;DisplayPort, miniDisplayPort;70.2;;188.1;178.65;['Mouse', 'Keyboard'];['Performance'];;240.0;Dell Precision;2.9;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];4.0;;;LGA1200;['PCI Express x8'];;;;;;;Micro Tower;;;;2933.0;64.0;2.0;2.0;;2.0;['Combo Audio Jack', 'Kensington lock', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
575;Dell Precision T3640 MT;41409;34222;;;As good as new;;;;Intel Xeon;Intel Xeon W 1270P;8.0;;5.1;125.0;16.0;DDR4;NVIDIA Quadro;P2200;['Windows 10 Pro'];['SSD', 'HDD'];1256.0;256.0;;;;;;;1.0;DisplayPort;335.0;;345.0;176.6;;['Performance'];['Opticl drive'];300.0;Dell Precision;3.8;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];5.0;;;Intel FCLGA1200;['PCI Express x1', 'PCI Express x4', 'PCI Express x16'];;;;;;;Mini Tower;;;;2666.0;128.0;4.0;2.0;4.0;5.0;['Combo Audio Jack', 'Kensington lock', 'LAN', 'Audio output (Line out)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;1024.0;
576;Dell Alienware Aurora R10 AMD Black;27293;22556;;;Slightly used;;;;AMD Ryzen 5;AMD Ryzen 5 5600X;6.0;;4.6;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060 Ti;['Windows 10 Home'];['SSD'];512.0;512.0;['PCIe', 'M.2 (NVMe)'];;;;;2.0;3.0;HDMI, DisplayPort;222.8;;431.9;481.6;['Mouse', 'Keyboard'];['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Dell Alienware;3.7;32.0;['Automatic Overclocking', 'HyperThreading'];8.0;;GeForce VR-Ready;LGA1200;['PCI Express x4', 'PCI Express x16'];;;;;;;Mini Tower;;;;3200.0;128.0;4.0;2.0;6.0;7.0;['7.1 Channel Audio(3 ports)', 'Combo Audio Jack', 'Kensington lock', 'S/PDIF optical output', 'WAN/LAN', 'Audio output (Line out)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
577;Dell Alienware Aurora R11 Lunar Light;44396;36691;;;Slightly used;;;;Intel Core i9;Intel Core i9 10900KF Comet Lake;10.0;;5.3;125.0;64.0;DDR4;NVIDIA GeForce;RTX 2080 Ti;['Windows 10 Home'];['SSD'];2000.0;2000.0;['M.2 (NVMe)'];;;;;1.0;2.0;HDMI, DisplayPort;222.8;;431.9;481.6;;['Gaming'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];1000.0;Dell Alienware;3.7;20.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];11.0;4352.0;GeForce VR-Ready;;;;;;;;;Midi Tower;;;;3200.0;64.0;4.0;2.0;6.0;7.0;['LAN', 'Microphone input', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['WiFi 5'];21518.0;;;;;;
578;Dell Alienware Aurora R12 Black;80774;66755;;;Unsealed;;;;Intel Core i9;Intel Core i9 11900F Rocket Lake;8.0;;5.2;65.0;32.0;DDR4;NVIDIA GeForce;RTX 3090;['Windows 10 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;;2.0;HDMI, DisplayPort;431.9;;481.6;222.8;;['Gaming'];['Bluetooth', 'RGB backlight', 'Wi-Fi'];1000.0;Dell Alienware;2.5;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];24.0;;;Intel 1200;;;;;;;;Mini Tower;;;;3200.0;;4.0;1.0;6.0;7.0;['Combo Audio Jack', 'LAN', 'Audio output (Line out)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
579;Dell Alienware Aurora R10 AMD;56991;47100;;;As good as new;;;;AMD Ryzen 7;AMD Ryzen 7 5800X;8.0;;4.7;105.0;16.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 10 Home'];['SSD'];1000.0;1000.0;;;;;;;3.0;HDMI, DisplayPort;431.9;;481.6;222.8;;['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Dell Alienware;3.8;36.0;;10.0;;GeForce VR-Ready;AMD AM4;;;;;;;;Mini Tower;;;;3200.0;128.0;4.0;2.0;6.0;7.0;['Combo Audio Jack', 'Headphone/Speaker output', 'WAN/LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;;;;;;;;;;
580;Lenovo ThinkCentre M630e Tiny + 3 Years On-Site NBD;8960;7405;;;Slightly used;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lenovo ThinkCentre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;Lenovo ThinkCentre M75t Gen 2;20161;16662;;;As good as new;;;;AMD Ryzen 3;AMD Ryzen 3 PRO 5350G;4.0;;4.2;65.0;8.0;DDR4;AMD Radeon;Graphics;['Windows 10 Pro'];['SSD'];256.0;256.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;2.0;1.0;HDMI, DisplayPort;145.0;;296.0;346.0;['Mouse', 'Keyboard'];['Office'];['Memory Card Reader', 'Opticl drive', 'Speakers'];180.0;Lenovo ThinkCentre;4.0;8.0;['Automatic Overclocking', 'Virtualization Support'];;;;AM4;['PCI Express x1', 'PCI Express x16', 'M.2'];;;0.0;1.0;1.0;1.0;Big Tower;Front;Transparent;;3200.0;128.0;4.0;1.0;4.0;2.0;['Combo Audio Jack', 'Kensington lock', 'LAN', 'Microphone input', 'Audio output (Line out)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Next Business Day'];;;['Mouse', 'Keyboard'];;;;;2.0;;;;
