id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
10;RASPBERRY Pi 3 Model B+;1639;1355;4.9;96.0;In stock > 5 pcs;;;;ARMv8;Broadcom Quad-Core BCM2837B0;4.0;;;;1.0;;;;['Without Operating System'];;;;;;;;;;;HDMI;85.6;;56.5;17.0;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.4;;;;;;;;;;;;;;;;;;;;;;4.0;;['LAN', 'microUSB', 'Headphone/Speaker output', 'DSI', 'CSI'];;;;;;;;;;;;;;;
11;Dune HD Ultra 4K;38836;32096;;;As good as new;;;;;;;;;;2.0;;;;['Google Android'];['Flash'];16000.0;;;;;['Black'];;;1.0;HDMI, USB-C, HDMI 2.0b;430.0;;310.0;72.0;['Remote control', 'Power adapter'];['Performance'];['Bluetooth', 'Wi-Fi'];;;;;;;;;;;;;;;;;;;;;;;;;2.0;;['LAN', 'S/PDIF optical output', 'USB-C'];;;;;;['Remote Control'];;;;;;;;;
12;Intel NUC 11 Enthusiast NUC11PHKi7C;12990;10736;5.0;19.0;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 1165G7 Tiger Lake;4.0;;4.7;28.0;;no RAM;NVIDIA GeForce;RTX 2060;['Without Operating System'];['no storage'];;;;;;;;5.0;2.0;HDMI, miniDisplayPort, USB-C;221.0;;142.0;42.0;['Power adapter'];['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.2;12.0;['HyperThreading', 'Low energy consumption', 'Virtualization Support'];6.0;1920.0;;Integrated CPU;['M.2'];;;;;;;Mini ITX;;;;3200.0;64.0;2.0;;1.0;;['Kensington lock', 'LAN', 'S/PDIF'];Without Optical Drive;;;;;;;['WiFi 6'];;;;;;;
13;Raspberry Pi 4 Model B - 8GB RAM;3090;2554;4.9;57.0;In stock > 5 pcs;;;;ARMv8;Broadcom BCM2711;4.0;;;;8.0;LPDDR4;;;['Without Operating System'];;;;;;;;;;1.0;;;;;;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.5;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;['MicroHDMI', 'Headphone/Speaker output', 'DSI', 'CSI'];Without Optical Drive;;;;;;;;;;;;;;
14;Alza TopOffice i5 Alder;15490;12802;4.4;3.0;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;117.0;16.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;VGA D-SUB, HDMI, DisplayPort;175.0;;410.0;358.0;;['Office'];['Bluetooth', 'Wi-Fi'];500.0;Alza TopOffice;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel LGA1700;;;;;;1.0;;Midi Tower;Front;Opaque;Steel;3200.0;;2.0;2.0;4.0;2.0;;Without Optical Drive;;;;;;['Windows 11 compatible'];;;;;;;;
15;Raspberry Pi 400 (UK);2690;2223;4.8;8.0;In stock > 5 pcs;;;;ARMv8;Broadcom BCM2711;4.0;;;;4.0;LPDDR4;;;['Raspbian'];;;;;;;;;;1.0;Micro HDMI;286.0;;122.0;23.0;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.8;;;;;;;;;;;;;;;;;;3200.0;;;;1.0;2.0;;Without Optical Drive;;;;;['Keyboard'];;;;;;;;;
16;Alza GameBox Alder i5 RTX4060 W11 Home;23990;19826;4.8;4.0;In stock;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;117.0;32.0;DDR4;NVIDIA GeForce;RTX 4060;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;2.0;;HDMI 2.1, DisplayPort 1.4;204.0;;405.5;455.3;;['Gaming'];['Bluetooth', 'Wi-Fi'];650.0;Alza GameBox;2.5;18.0;;8.0;3072.0;Nvidia DLSS 3.0;Intel LGA1700;;;;;;1.0;2.0;Midi Tower;Top;Transparent;Tempered glass;3200.0;;4.0;2.0;4.0;;['PS/2', 'RJ-45 (LAN) 2.5Gbps', 'Jack'];Without Optical Drive;;;;;;;;;;;;;;
17;JOY-IT Raspberry Pi 3 B+ 1GB Starter Kit;2199;1817;5.0;2.0;In stock > 5 pcs;;;;ARMv8;Broadcom Quad-Core BCM2837B0;4.0;;;;1.0;;Broadcom;VideoCore IV;['Without Operating System'];['microSD'];;;;;;;;;;HDMI;85.6;;56.5;17.0;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.4;;;;;;;;;;;;;;;;;;;;;;4.0;;['Audio Jack 3.5mm'];;;;;;;;;;;;;;;
18;Lenovo IdeaCentre 3 24ADA6 Black (záruka na 3 roky po registraci);12490;10322;4.0;3.0;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;AMD Athlon;AMD Athlon Silver 3050U;2.0;;3.2;15.0;8.0;DDR4;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;;;HDMI;541.0;;185.34;433.56;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];65.0;;2.3;4.0;['Automatic Overclocking', 'Virtualization Support'];;;;;['M.2'];;;;;;;All In One;;;;2400.0;16.0;2.0;2.0;2.0;2.0;['LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
19;Raspberry Pi 4 Model B - 2GB RAM;2149;1776;4.9;57.0;In stock > 5 pcs;;;;ARM;Cortex-A72;4.0;;;;2.0;LPDDR4;VideoCore;VI 3D;['Without Operating System'];;;;;;;;;;1.0;;;;;;;['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;1.5;;;;;;;;;;;;;;Micro Tower;;;;;;;;2.0;2.0;['LAN', 'MicroHDMI', 'Headphone/Speaker output'];Without Optical Drive;;;;;;;;;;;;;;
