attribute;value;rating;rating_count
Battery capacity [mAh];20000.0;;0.0
Battery capacity [mAh];22000.0;;0.0
Battery capacity [mAh];32000.0;;0.0
Battery capacity [mAh];76675.60321715818;4.8812500000000005;48.0
Charging performance [W];5.0;3.875;8.0
Charging performance [W];10.0;4.382758620689655;203.0
Charging performance [W];15.0;4.702310231023102;303.0
Charging performance [W];18.0;4.212068965517242;58.0
Charging performance [W];20.0;4.874157303370787;267.0
Charging performance [W];22.5;4.7;12.0
Charging performance [W];27.0;5.0;8.0
Charging performance [W];30.0;4.5;11.0
Charging performance [W];33.0;4.802816901408451;71.0
Charging performance [W];45.0;4.624369747899159;119.0
Charging performance [W];68.0;;0.0
Number of processor cores;4.0;3.8164556962025316;237.0
Number of processor cores;8.0;4.582458888018794;1277.0
Processor frequency [GHz];0.0;;0.0
Processor frequency [GHz];1.3;3.525;20.0
Processor frequency [GHz];1.5;3.448780487804878;41.0
Processor frequency [GHz];1.6;4.15672514619883;171.0
Processor frequency [GHz];1.8;4.1991735537190085;121.0
Processor frequency [GHz];2.0;4.482242990654206;428.0
Processor frequency [GHz];2.05;4.7;39.0
Processor frequency [GHz];2.2;4.706666666666666;60.0
Processor frequency [GHz];2.3;4.6706896551724135;116.0
Processor frequency [GHz];2.4;4.506185567010309;97.0
Processor frequency [GHz];2.6;4.303125;32.0
Processor frequency [GHz];2.8;4.871428571428572;28.0
Processor frequency [GHz];2.84;;0.0
Processor frequency [GHz];2.85;;0.0
Processor frequency [GHz];3.0;4.7631578947368425;19.0
Processor frequency [GHz];3.05;;0.0
Processor frequency [GHz];3.09;5.0;18.0
Processor frequency [GHz];3.2;4.25;4.0
Processor frequency [GHz];15.0;3.8;5.0
Processor frequency [GHz];16.0;4.416666666666667;12.0
Processor frequency [GHz];18.0;4.5;2.0
Processor frequency [GHz];22.0;5.0;6.0
Processor frequency [GHz];23.0;4.625;84.0
Processor frequency [GHz];24.0;4.444444444444445;9.0
Processor frequency [GHz];28.0;4.866666666666666;21.0
Processor frequency [GHz];32.0;4.666666666666667;3.0
Processor model;ARM Cortex A5;3.933333333333333;9.0
Processor model;ARM Cortex A55;;0.0
Processor model;Allwinner A133;3.3426229508196723;61.0
Processor model;Apple A12 Bionic;5.0;15.0
Processor model;Apple A12X;5.0;1.0
Processor model;Apple A13 Bionic;4.869686411149826;287.0
Processor model;Apple A14 Bionic;4.793589743589743;78.0
Processor model;Apple A15 Bionic;4.889285714285714;56.0
Processor model;Apple M1 with 8-core GPU;4.912105263157894;190.0
Processor model;Apple M2 with 10-core GPU;4.979787234042553;94.0
Processor model;Cortex A53;4.297058823529412;34.0
Processor model;Exynos 9611;4.8;10.0
Processor model;Exynos1380;4.642857142857143;14.0
Processor model;Google Tensor G2;;0.0
Processor model;Helio G85;1.0;1.0
Processor model;Intel Celeron N3450;2.0;1.0
Processor model;MT8167B;3.4;12.0
Processor model;MT8788A;4.871428571428572;7.0
Processor model;MediaTek Dimensity 7050;4.5;11.0
Processor model;MediaTek Dimensity 9000;;0.0
Processor model;MediaTek Helio A22;4.666666666666667;36.0
Processor model;MediaTek Helio G25;4.4;5.0
Processor model;MediaTek Helio G80;4.523076923076923;52.0
Processor model;MediaTek Helio G90T;4.7;39.0
Processor model;MediaTek Helio G99;4.710869565217391;46.0
Processor model;MediaTek Helio P22T;4.321428571428571;14.0
Processor model;MediaTek Kompanio 1300T;4.2;21.0
Processor model;MediaTek MT6762;;0.0
Processor model;MediaTek MT8167;3.7124999999999995;8.0
Processor model;MediaTek MT8183;;0.0
Processor model;MediaTek MT8385;4.0;2.0
Processor model;MediaTek MT8766;;0.0
Processor model;MediaTek MT8786;4.9;13.0
Processor model;MediaTek MT8786, MediaTek MT8786;;0.0
Processor model;MediaTek MTK8768;5.0;3.0
Processor model;MediaTek MTK8768T;4.633944954128441;109.0
Processor model;Qualcomm Snapdragon 662;4.618181818181818;44.0
Processor model;Qualcomm Snapdragon 670;4.7;22.0
Processor model;Qualcomm Snapdragon 685;4.7;12.0
Processor model;Qualcomm Snapdragon 778G;4.347619047619047;42.0
Processor model;Qualcomm Snapdragon 8 Gen 2;4.904999999999999;40.0
Processor model;Qualcomm Snapdragon 8 Gen1;4.7631578947368425;19.0
Processor model;Qualcomm Snapdragon 835;4.5;2.0
Processor model;Qualcomm Snapdragon 865+;5.0;18.0
Processor model;Qualcomm Snapdragon 870;4.77027027027027;74.0
Processor model;Qualcomm Snapdragon 888 5G;;0.0
Processor model;Qualcomm Snapdragon SDM680;4.495604395604396;91.0
Processor model;Rockchip 3326;3.8685714285714288;35.0
Processor model;Rockchip RK3562;4.28;15.0
Processor model;Rockchip RK3566;4.0;33.0
Processor model;SC9863A;4.516;50.0
Processor model;Snapdragon 720G;4.705797101449275;69.0
Processor model;T610;4.420833333333333;72.0
Processor model;T616;3.812121212121212;33.0
Processor model;UNISOC SC9863;3.875;16.0
Processor model;Unisoc T606;4.260869565217392;23.0
Processor model;Unisoc T616;3.885714285714286;7.0
Processor model;Unisoc Tiger T618;4.66993006993007;143.0
Processor model;Unisoc UMS9230;4.502298850574713;87.0
Functions;['Gorilla Glass'];4.0;8.0
Functions;['Image transmission to TV', 'Barcode reader', 'Quick charge', 'Water-resistant'];4.666666666666667;3.0
Functions;['OTG', 'Gorilla Glass', 'Water-resistant'];4.0;2.0
Functions;['OTG', 'Gorilla Glass'];4.7299999999999995;30.0
Functions;['OTG', 'Image transmission to TV', 'Gorilla Glass'];4.2;21.0
Functions;['OTG', 'Image transmission to TV', 'Quick charge'];4.5;2.0
Functions;['OTG', 'Image transmission to TV', 'Quick charging', 'Gorilla Glass', 'Fingerprint reader'];;0.0
Functions;['OTG', 'Image transmission to TV', 'Quick charging'];4.3;10.0
Functions;['OTG', 'Image transmission to TV', 'Water-resistant'];3.0;1.0
Functions;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];4.5;10.0
Functions;['OTG', 'Quick charge', 'Gorilla Glass'];;0.0
Functions;['OTG', 'Quick charge', 'Water-resistant'];5.0;6.0
Functions;['OTG', 'Quick charge'];3.5;2.0
Functions;['OTG', 'Quick charging', 'Gorilla Glass', 'Water-resistant'];5.0;5.0
Functions;['OTG', 'Quick charging', 'Gorilla Glass'];4.35;8.0
Functions;['OTG', 'Quick charging'];3.9262295081967213;61.0
Functions;['OTG', 'Water-resistant'];4.083333333333333;12.0
Functions;['OTG'];4.3133603238866405;247.0
Functions;['Quick charge', 'Water-resistant'];4.866666666666666;21.0
Functions;['Quick charge'];4.811522633744856;486.0
Functions;['Quick charging', 'Gorilla Glass'];4.321428571428571;14.0
Functions;['Quick charging', 'Water-resistant'];5.0;16.0
Functions;['Quick charging'];4.554029850746268;335.0
Functions;['VoLTE/GSM', 'OTG', 'Image transmission to TV', 'Quick charge'];5.0;1.0
Functions;['VoLTE/GSM', 'OTG', 'Image transmission to TV', 'Quick charging', 'Gorilla Glass', 'Water-resistant'];;0.0
Functions;['VoLTE/GSM', 'OTG', 'Quick charging', 'Gorilla Glass'];4.0;2.0
Functions;['VoLTE/GSM', 'OTG', 'Quick charging', 'Water-resistant'];4.4;5.0
Functions;['VoLTE/GSM', 'OTG', 'Quick charging'];4.6;15.0
Functions;['VoLTE/GSM', 'OTG'];;0.0
Functions;['VoLTE/GSM', 'Quick charge', 'Water-resistant', 'Fingerprint reader'];;0.0
Functions;['VoLTE/GSM', 'Quick charging'];4.694117647058823;51.0
Functions;['VoLTE/GSM'];3.0;1.0
Functions;['Water-resistant'];;0.0
Operating system;['Google Android'];4.454074074074074;1485.0
Operating system;['Harmony OS'];;0.0
Operating system;['Microsoft Windows'];2.0;1.0
Operating system;['iPadOS'];4.891400832177531;721.0
Operating system version;Android 10;4.528662420382165;157.0
Operating system version;Android 10 (Go Edition);3.6333333333333333;21.0
Operating system version;Android 11;4.54179104477612;402.0
Operating system version;Android 12;4.380935875216638;577.0
Operating system version;Android 12 (Go edition);1.0;1.0
Operating system version;Android 13;4.5;298.0
Operating system version;Android 9.0 Pie;4.683333333333334;24.0
Operating system version;Android AOSP 11.0;3.8;5.0
Operating system version;Windows 10 Pro;2.0;1.0
Operating system version;iOS 12;5.0;14.0
Height [mm];5.7;5.0;18.0
Height [mm];6.3;4.3;30.0
Height [mm];6.9;4.7;3.0
Height [mm];7.15;;0.0
Height [mm];7.4;4.35;8.0
Height [mm];7.45;4.508620689655173;58.0
Height [mm];7.8;5.0;1.0
Height [mm];7.99;4.523076923076923;52.0
Height [mm];8.0;4.633944954128441;109.0
Height [mm];8.15;4.375;12.0
Height [mm];8.6;;0.0
Height [mm];8.8;4.6;36.0
Height [mm];8.95;4.8;24.0
Height [mm];9.92;4.0;2.0
Height [mm];10.2;3.0;1.0
Height [mm];11.7;2.0;1.0
Height [mm];22.1;;0.0
Height [mm];63.0;4.6;11.0
Height [mm];83.0;5.0;6.0
Height [mm];111.0;4.1;7.0
Height [mm];137.0;4.0;2.0
Height [mm];153.3;3.8;16.0
Height [mm];153.4;;0.0
Height [mm];154.7;;0.0
Height [mm];155.5;3.7000000000000006;6.0
Height [mm];155.6;3.933333333333333;9.0
Height [mm];156.0;;0.0
Height [mm];157.0;4.363636363636363;11.0
Height [mm];157.4;4.7;40.0
Height [mm];157.5;4.5375;32.0
Height [mm];157.7;;0.0
Height [mm];157.95;4.675;40.0
Height [mm];158.18;5.0;1.0
Height [mm];158.4;;0.0
Height [mm];160.0;3.0;1.0
Height [mm];160.1;3.0;2.0
