id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;Hard drive -> Number of occupied slots 2.5";Hard drive -> Slots in total 2.5";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;
1538;15.6;60.0;400.0;14.0;1.9;5.4;45.0;24.0;32.0;4800.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;;;;86.0;130.0;;6.0;;1.96;1.0;;2.0;;;;344.72;18.0;230.14;
1539;15.6;60.0;500.0;12.0;3.3;4.5;45.0;18.0;16.0;4800.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;2.0;;;;56.0;90.0;;3.0;;2.1;1.0;;2.0;;;;344.4;18.54;230.1;
1540;16.0;60.0;400.0;14.0;2.3;4.7;115.0;24.0;16.0;3200.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;83.0;90.0;15.0;6.0;;2.01;;;2.0;1.0;;;358.0;19.9;245.3;
1541;13.0;;;10.0;;4.4;55.0;12.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;47.7;;;4.0;;0.9;2.0;;;;;;287.0;9.3;208.0;
1542;13.5;;400.0;10.0;;4.8;15.0;12.0;16.0;;;0.0;;;;;;;256.0;;256.0;1.0;1.0;;;;47.4;65.0;18.0;;;1.3;;1.0;1.0;;;;308.0;14.5;223.0;
1543;15.0;;;10.0;1.7;4.7;55.0;12.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;47.4;65.0;;;;1.56;1.0;1.0;;;;;339.5;14.7;244.0;
1544;12.45;;;10.0;;;55.0;12.0;16.0;;;;;;;;;;512.0;;512.0;;;;;;;39.0;15.0;4.0;;1.13;1.0;1.0;;;;;278.0;15.7;206.0;
1545;12.45;;;10.0;;;55.0;12.0;16.0;;;;;;;;;;256.0;;256.0;;;;;;;39.0;15.0;4.0;;1.13;1.0;1.0;;;;;278.0;15.7;206.0;
1546;14.0;60.0;425.0;12.0;3.4;4.7;28.0;18.0;16.0;;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;56.0;65.0;10.0;3.0;;1.2;2.0;2.0;;;;;310.5;14.95;213.3;
1547;156.0;60.0;;6.0;33.0;44.0;15.0;10.0;8.0;;1.0;;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;56.0;45.0;;3.0;9.0;17.0;;3.0;1.0;;;;3597.0;199.0;24525.0;
1548;14.0;;400.0;10.0;3.7;5.0;55.0;12.0;16.0;;1.0;1.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;65.0;65.0;9.0;4.0;;1.39;2.0;2.0;1.0;;;;319.0;18.9;229.0;
1549;16.0;;400.0;10.0;3.4;4.6;55.0;12.0;16.0;;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;;;;56.0;65.0;10.0;3.0;;1.6;;2.0;2.0;;;;358.0;18.9;251.0;
1550;14.0;;400.0;10.0;3.7;5.0;15.0;12.0;16.0;;;;;;;;;;512.0;;512.0;1.0;2.0;;;;65.0;65.0;15.5;3.0;;1.1;;1.0;2.0;;;;313.4;16.9;226.5;
1551;14.0;;400.0;10.0;3.4;4.6;15.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;60.0;65.0;12.0;;;1.13;;2.0;2.0;;;;322.0;18.9;211.0;
1552;14.0;60.0;250.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;60.0;65.0;11.0;4.0;;1.35;;2.0;2.0;;;;322.0;19.9;211.0;
1553;14.0;;250.0;8.0;2.0;4.5;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;60.0;65.0;14.5;4.0;;1.35;2.0;2.0;;;;;322.0;19.9;211.0;
1554;14.0;60.0;300.0;12.0;1.4;4.6;28.0;12.0;16.0;7500.0;0.0;0.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;52.5;100.0;;;;1.34;;2.0;2.0;;;;317.7;17.9;226.9;
1555;14.0;60.0;300.0;12.0;1.2;4.4;28.0;12.0;16.0;4800.0;;0.0;;;;;;;512.0;;512.0;1.0;2.0;;;;62.0;100.0;;;;1.4;1.0;2.0;1.0;;1.0;;312.0;15.9;224.0;
