;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
2230;2230;1051.0;60.0;;2.0;13.0;39.0;7.0;4.0;8.0;;;;;;;;;;128.0;;128.0;;;;;;268.0;24.0;;2.0;11.0;54.0;1.0;;;;;;245.0;83.0;175.0;;22090.0;18256.0
2231;2231;16.0;60.0;400.0;12.0;1.5;4.7;64.0;18.0;16.0;3200.0;;;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;100.0;;;;1.68;;2.0;2.0;;;;361.9;20.83;255.5;;46190.0;38174.0
2232;2232;13.3;;400.0;10.0;1.3;4.6;;12.0;16.0;6400.0;;;;;;;;;512.0;;512.0;;;;;;;65.0;;3.0;;1.26;;2.0;2.0;;;;300.1;19.2;215.0;;32490.0;26851.0
2233;2233;13.5;60.0;400.0;10.0;1.7;4.7;15.0;12.0;32.0;4266.0;1.0;1.0;;;;;;;2000.0;;2000.0;1.0;1.0;;;;66.0;65.0;16.0;4.0;;1.36;;;2.0;1.0;;;298.0;16.9;220.4;;47990.0;39661.0
2234;2234;13.3;60.0;400.0;12.0;1.2;4.4;64.0;12.0;16.0;4800.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;54.7;65.0;14.1;;;1.26;;2.0;2.0;;;;305.8;18.1;217.56;;35990.0;29744.0
2235;2235;15.6;;400.0;14.0;2.3;4.7;;24.0;16.0;4800.0;1.0;;;4.0;;;;;512.0;;512.0;;;;;;83.0;150.0;;6.0;;1.93;;3.0;1.0;;;;359.4;22.8;233.9;;42990.0;35529.0
2236;2236;17.3;60.0;300.0;12.0;1.9;4.7;45.0;18.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;55.0;90.0;9.0;4.0;;2.49;;;2.0;3.0;;;396.0;19.6;258.6;;30990.0;25612.0
2237;2237;15.6;60.0;250.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;57.0;65.0;14.7;;;1.76;2.0;2.0;;;;;360.2;19.93;237.0;;23190.0;19165.0
2238;2238;13.3;60.0;400.0;8.0;2.7;4.75;28.0;16.0;16.0;3200.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;43.0;65.0;11.0;3.0;;0.99;1.0;2.0;;;;;297.0;16.9;209.0;;26990.0;22306.0
2239;2239;15.6;60.0;500.0;14.0;2.4;5.0;45.0;24.0;16.0;4800.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;2.0;;;;86.0;130.0;;6.0;;1.92;1.0;;2.0;;;;344.72;18.0;230.14;;49190.0;40653.0
