;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
602;602;16.0;240.0;500.0;24.0;2.2;5.6;55.0;36.0;32.0;4800.0;2.0;2.0;;8.0;140.0;2225.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;280.0;;4.0;;2.5;1.0;;1.0;2.0;;;354.0;30.4;264.0;;54990.0;45446.0
603;603;14.5;120.0;400.0;8.0;3.8;5.1;54.0;16.0;16.0;6400.0;1.0;1.0;;6.0;;;;;1000.0;;1000.0;1.0;1.0;;;;73.0;140.0;12.06;;;1.49;2.0;1.0;;;;;325.5;15.6;226.49;;37690.0;31149.0
604;604;15.6;165.0;350.0;8.0;1.5;4.6;95.0;12.0;16.0;5200.0;2.0;2.0;;6.0;95.0;0.0;;;1000.0;;1000.0;1.0;2.0;;;;60.0;170.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;;32199.0;26611.0
605;605;14.0;60.0;250.0;10.0;0.9;4.4;15.0;12.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;;3.0;;1.61;;;2.0;1.0;1.0;;329.0;19.5;223.9;;19990.0;16521.0
606;606;17.3;144.0;250.0;10.0;1.7;4.7;45.0;24.0;32.0;;2.0;2.0;;6.0;140.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;230.0;;4.0;;3.0;;1.0;1.0;2.0;;;400.5;27.9;294.48;;33990.0;28091.0
607;607;15.6;60.0;300.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;0.0;1.0;;;;;;;256.0;;256.0;1.0;2.0;;;;45.0;65.0;8.0;;;1.7;2.0;2.0;;;;;357.0;18.9;235.0;;16590.0;13711.0
608;608;13.3;60.0;400.0;8.0;;;;;16.0;;;;;;;;;;256.0;;256.0;;;;;;50.0;;18.0;;;1.25;2.0;;;;;;304.1;15.6;212.4;;33990.0;28091.0
609;609;14.0;;300.0;10.0;0.9;4.4;15.0;12.0;16.0;4266.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;65.0;13.5;3.0;;1.5;;2.0;1.0;;;;313.1;17.4;224.9;;19989.0;16520.0
610;610;15.6;165.0;350.0;12.0;3.5;4.7;45.0;18.0;16.0;5200.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;230.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;;32989.0;27264.0
611;611;15.6;60.0;250.0;10.0;0.9;4.6;55.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;57.0;65.0;14.54;;;1.77;1.0;2.0;1.0;;;;360.2;19.93;237.0;;26190.0;21645.0
612;612;17.3;144.0;300.0;8.0;3.2;4.4;54.0;16.0;16.0;3200.0;2.0;2.0;;8.0;130.0;1560.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;80.0;300.0;7.9;;;2.98;2.0;4.0;;;;;398.6;26.2;290.0;;35990.0;29744.0
613;613;15.6;60.0;300.0;10.0;0.9;4.4;55.0;12.0;8.0;3200.0;0.0;1.0;;;;;;;256.0;;256.0;1.0;2.0;;;;45.0;65.0;8.0;;;1.7;1.0;2.0;1.0;;;;357.0;18.9;235.0;;17490.0;14455.0
614;614;16.1;240.0;300.0;16.0;1.5;5.0;55.0;30.0;32.0;4800.0;2.0;2.0;;12.0;145.0;2505.0;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;83.0;280.0;4.5;6.0;;2.35;;2.0;2.0;;;;369.0;23.5;259.4;;69890.0;57760.0
615;615;16.0;120.0;400.0;14.0;;5.0;115.0;24.0;16.0;;;;;;;;;;1000.0;;1000.0;1.0;2.0;;;;65.0;100.0;;4.0;9.0;16.0;;2.0;2.0;;;;356.0;149.0;2426.0;;27990.0;23132.0
616;616;13.6;;500.0;8.0;;;;;24.0;;;;;;;;;;2000.0;;2000.0;;;;;;52.6;35.0;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;;76590.0;63298.0
617;617;14.0;120.0;500.0;10.0;1.2;5.0;15.0;12.0;32.0;4800.0;2.0;2.0;;4.0;60.0;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;51.0;65.0;11.25;3.0;;1.45;;2.0;2.0;;;;315.6;19.9;224.3;;40690.0;33711.0
618;618;18.0;240.0;500.0;24.0;2.2;5.6;55.0;36.0;32.0;4800.0;2.0;2.0;;8.0;140.0;2225.0;;;1000.0;;1000.0;2.0;1.0;;;;90.0;280.0;;4.0;;3.0;1.0;;1.0;2.0;;;399.0;30.8;294.0;;57990.0;47926.0
619;619;14.0;60.0;300.0;14.0;1.8;5.0;45.0;24.0;16.0;5200.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;60.0;100.0;16.53;;;1.38;1.0;2.0;1.0;;;;313.5;16.9;224.0;;27590.0;22802.0
620;620;13.6;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;53.0;;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;;36990.0;30570.0
621;621;15.6;120.0;250.0;10.0;3.7;5.0;;12.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;;;;;;;54.0;65.0;;4.0;;1.9;;;;2.0;1.0;;358.5;18.99;235.56;;20990.0;17347.0
622;622;14.2;;1000.0;8.0;;;;;8.0;;;;;;;;;;512.0;;512.0;;;;;;58.0;;20.0;;;1.55;2.0;;2.0;;;;312.6;15.5;221.2;;49990.0;41314.0
623;623;15.6;60.0;600.0;12.0;;4.7;95.0;18.0;16.0;;;;;4.0;;;;;512.0;;512.0;;;;;;70.0;90.0;;3.0;;1.7;;1.0;1.0;;1.0;;359.3;17.9;229.4;;21990.0;18174.0
624;624;16.0;165.0;300.0;6.0;3.3;4.5;45.0;16.0;16.0;4800.0;1.0;1.0;;4.0;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;99.0;230.0;10.6;;;2.23;2.0;2.0;;;;;357.7;16.9;260.0;;27989.0;23131.0
625;625;15.6;60.0;400.0;12.0;2.2;5.0;28.0;18.0;32.0;4800.0;2.0;2.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;54.0;130.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;;52390.0;43298.0
626;626;136.0;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;512.0;;512.0;;;;;;53.0;;;;18.0;124.0;2.0;;2.0;;;;304.0;113.0;215.0;;37990.0;31397.0
627;627;13.3;60.0;550.0;8.0;3.0;5.1;30.0;16.0;16.0;6400.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;67.0;65.0;;4.0;;1.1;3.0;;;;;;296.7;14.9;210.5;;32490.0;26851.0
628;628;16.0;240.0;500.0;14.0;1.8;5.0;115.0;24.0;32.0;5200.0;2.0;2.0;;8.0;140.0;2175.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;7.6;;;2.4;2.0;;;2.0;;;359.7;25.2;260.3;;48990.0;40488.0
629;629;14.0;;400.0;10.0;3.4;4.6;15.0;12.0;16.0;6400.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;;64.0;14.8;;;0.91;2.0;2.0;2.0;;;;308.0;17.3;209.0;;39990.0;33050.0
630;630;15.6;144.0;250.0;6.0;3.3;4.55;35.0;16.0;16.0;3200.0;2.0;2.0;;4.0;60.0;;;;512.0;;512.0;;;;;;70.0;200.0;;4.0;;2.29;1.0;2.0;;;;;357.9;23.5;255.0;;19990.0;16521.0
631;631;16.0;60.0;400.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;52.5;65.0;13.0;;;2.1;1.0;2.0;;;;;357.8;18.7;253.9;;24989.0;20652.0
632;632;17.3;165.0;300.0;8.0;4.0;5.2;35.0;12.0;32.0;5600.0;2.0;2.0;;8.0;140.0;1656.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;330.0;;4.0;;3.1;1.0;;;2.0;1.0;;400.2;27.9;293.25;;49990.0;41314.0
633;633;16.0;60.0;300.0;8.0;1.5;4.4;45.0;12.0;16.0;4800.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;47.0;65.0;11.6;;;1.74;1.0;2.0;;;;;359.2;18.4;257.0;;15990.0;13215.0
634;634;16.0;60.0;;14.0;;5.0;115.0;24.0;16.0;4800.0;;2.0;;8.0;105.0;1980.0;;;1000.0;;1000.0;;2.0;;;;88.0;240.0;7.5;;;2.1;1.0;1.0;2.0;;;;354.0;22.0;255.0;;54990.0;45446.0
635;635;16.0;;400.0;14.0;;5.2;;24.0;64.0;5200.0;;;;;;;;;2000.0;;2000.0;;;;;;51.0;110.0;;3.0;;1.72;;2.0;;;;;358.7;19.9;250.9;;51790.0;42802.0
636;636;15.6;120.0;250.0;10.0;2.4;4.6;55.0;20.0;16.0;4800.0;2.0;2.0;;6.0;;;;;512.0;;512.0;1.0;1.0;;;;56.0;240.0;;3.0;;2.65;1.0;3.0;;;;;357.26;26.15;274.52;;26990.0;22306.0
637;637;16.0;;400.0;14.0;;5.4;;24.0;32.0;;;;;8.0;;;;;2000.0;;2000.0;;;;;;86.0;;;6.0;;1.73;;1.0;2.0;;;;356.0;19.0;242.0;;79190.0;65446.0
638;638;153.0;;500.0;;;;;;24.0;;;;;;;;;;512.0;;512.0;;;;;;665.0;70.0;;;15.0;151.0;;;2.0;;;;3404.0;115.0;2376.0;;55990.0;46273.0
639;639;14.0;90.0;300.0;14.0;2.4;5.0;45.0;24.0;32.0;4800.0;;;;6.0;;;;;1000.0;;1000.0;1.0;1.0;;0.0;;64.0;130.0;;4.0;;1.77;;2.0;1.0;;;;314.0;18.99;226.6;;41090.0;33959.0
640;640;16.1;144.0;250.0;6.0;2.7;4.5;45.0;12.0;16.0;2933.0;2.0;2.0;;6.0;115.0;1702.0;;;512.0;;512.0;1.0;1.0;;;;70.0;200.0;5.75;4.0;;2.46;1.0;3.0;;;;;370.0;23.5;260.0;;32872.0;21479.0
641;641;14.0;60.0;250.0;6.0;1.2;4.4;15.0;10.0;8.0;3200.0;0.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;;3.0;;1.61;;;2.0;1.0;1.0;;329.0;19.5;223.9;;16990.0;14041.0
642;642;16.0;240.0;500.0;14.0;1.8;5.0;115.0;24.0;16.0;5200.0;2.0;2.0;;8.0;125.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;7.6;;;2.4;2.0;;;2.0;;;359.7;25.2;260.3;;39989.0;33049.0
643;643;16.0;60.0;250.0;10.0;0.9;4.4;15.0;12.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.97;1.0;2.0;;;;;356.78;17.95;251.9;;17767.0;14683.0
644;644;16.0;165.0;300.0;16.0;1.5;5.0;55.0;30.0;32.0;4800.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;1.0;;;;86.0;330.0;;6.0;;2.87;1.0;3.0;;;;;356.98;24.9;288.73;;49890.0;41231.0
645;645;16.0;60.0;300.0;6.0;2.0;4.3;15.0;16.0;8.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;42.0;45.0;;3.0;;1.9;1.0;;;1.0;1.0;;355.2;19.7;252.4;;17490.0;14455.0
646;646;16.1;165.0;300.0;8.0;3.2;4.7;45.0;16.0;16.0;4800.0;2.0;2.0;;6.0;125.0;;;;1000.0;;1000.0;;;;;;83.0;280.0;8.75;6.0;;2.41;2.0;3.0;;;;;369.0;23.0;248.0;;34090.0;28174.0
647;647;14.0;90.0;400.0;12.0;1.7;4.4;;12.0;8.0;4800.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;61.0;65.0;17.83;;;1.37;;1.0;2.0;;;;312.4;14.6;221.4;;18989.0;15693.0
648;648;15.6;165.0;350.0;10.0;2.4;4.9;115.0;24.0;16.0;5200.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;;;;60.0;230.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;;36989.0;30569.0
649;649;13.5;;;10.0;1.3;4.4;55.0;12.0;16.0;;;;;;;;;;512.0;;512.0;;;;;;47.4;65.0;;;;1.3;1.0;1.0;;;;;308.0;14.5;223.0;;32990.0;27264.0
650;650;16.0;165.0;250.0;8.0;4.0;5.2;35.0;16.0;16.0;4800.0;2.0;2.0;;8.0;95.0;1865.0;;;512.0;;512.0;1.0;2.0;;;;90.0;240.0;;4.0;;2.2;1.0;2.0;1.0;;;;355.0;26.8;252.0;;35490.0;29331.0
651;651;15.6;;;6.0;2.0;4.5;15.0;16.0;8.0;;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;;;;50.0;65.0;12.0;3.0;;1.74;1.0;2.0;;;;;362.9;17.9;239.6;;13990.0;11562.0
652;652;17.3;165.0;300.0;14.0;3.5;4.7;45.0;24.0;32.0;;2.0;2.0;;8.0;140.0;2350.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;280.0;5.5;4.0;;3.0;1.0;1.0;;2.0;;;400.5;27.9;294.48;;41990.0;34702.0
653;653;17.3;60.0;;10.0;0.9;4.6;15.0;12.0;16.0;;2.0;2.0;;4.0;45.0;1477.0;;;1000.0;;1000.0;1.0;2.0;;;;50.0;90.0;;3.0;;2.09;;2.0;1.0;;;;402.1;17.99;256.5;;23990.0;19826.0
654;654;15.6;165.0;300.0;14.0;2.6;4.9;55.0;24.0;16.0;4800.0;2.0;2.0;;8.0;;;;;1000.0;;1000.0;1.0;1.0;;;;86.0;330.0;;6.0;;2.65;1.0;3.0;;;;;357.26;26.15;274.52;;39990.0;33050.0
655;655;15.6;60.0;250.0;6.0;0.9;4.5;15.0;10.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;42.0;45.0;10.75;3.0;;1.79;2.0;2.0;;;;;359.4;19.9;233.9;;18590.0;15364.0
656;656;15.6;165.0;300.0;14.0;2.3;4.7;35.0;24.0;32.0;;2.0;3.0;;6.0;140.0;2455.0;;;1000.0;;1000.0;1.0;2.0;;1.0;;57.0;230.0;5.0;4.0;;2.5;;1.0;1.0;2.0;;;360.4;25.9;271.09;;34990.0;28917.0
657;657;13.5;60.0;400.0;10.0;1.2;5.0;15.0;12.0;16.0;4266.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;66.0;65.0;18.0;4.0;;1.36;;;2.0;1.0;;;298.0;16.9;220.4;;43990.0;36355.0
658;658;16.0;165.0;300.0;24.0;1.6;5.4;55.0;36.0;32.0;4800.0;2.0;2.0;;8.0;;;;;1000.0;;1000.0;1.0;2.0;;;;86.0;330.0;;6.0;;2.73;1.0;3.0;1.0;;;;356.98;24.9;288.73;;52090.0;43050.0
659;659;16.0;;;10.0;3.7;5.0;15.0;12.0;16.0;;1.0;2.0;;4.0;;;;;1000.0;;1000.0;1.0;2.0;;1.0;;65.0;90.0;13.0;3.0;;1.87;1.0;2.0;1.0;;;;358.5;19.9;260.0;;28990.0;23959.0
660;660;15.6;144.0;350.0;8.0;3.8;5.1;35.0;16.0;16.0;5600.0;2.0;2.0;;6.0;95.0;2370.0;;;512.0;;512.0;1.0;2.0;;;;60.0;170.0;;;;2.4;1.0;2.0;;;1.0;;359.6;25.2;264.8;;29989.0;24784.0
661;661;14.0;90.0;400.0;4.0;3.2;4.5;35.0;8.0;16.0;4266.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;61.0;65.0;20.6;;;1.3;;1.0;2.0;;;;312.4;16.9;221.4;;19989.0;16520.0
662;662;16.0;165.0;300.0;8.0;1.5;4.4;45.0;12.0;16.0;4800.0;2.0;2.0;;6.0;100.0;2370.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;80.0;230.0;8.9;;;2.4;2.0;;;2.0;;;359.7;21.9;260.3;;28990.0;23959.0
663;663;16.0;165.0;1200.0;14.0;1.9;5.4;115.0;24.0;32.0;6400.0;;;;6.0;100.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;75.0;170.0;11.0;;;2.18;;2.0;1.0;;;;362.44;17.9;244.82;;49989.0;41313.0
664;664;16.0;144.0;300.0;12.0;3.5;4.7;45.0;18.0;16.0;5200.0;2.0;2.0;;6.0;100.0;2370.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;80.0;230.0;8.9;;;2.4;2.0;;;2.0;;;359.7;21.9;260.3;;29989.0;24784.0
665;665;;120.0;400.0;8.0;3.3;5.1;54.0;16.0;32.0;6400.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;75.0;100.0;14.0;;;1.46;1.0;2.0;1.0;;;;312.0;15.9;221.0;;25499.0;21074.0
666;666;15.6;144.0;350.0;8.0;1.5;4.6;95.0;12.0;16.0;5200.0;2.0;2.0;;6.0;95.0;0.0;;;1000.0;;1000.0;1.0;2.0;;;;60.0;170.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;;25989.0;21479.0
667;667;15.6;60.0;400.0;14.0;1.4;5.2;28.0;24.0;32.0;4800.0;2.0;2.0;;4.0;;;;;1000.0;;1000.0;1.0;1.0;;;;54.0;130.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;;57790.0;47760.0
668;668;15.6;165.0;300.0;10.0;2.4;4.6;55.0;20.0;16.0;4800.0;2.0;2.0;;6.0;;;;;512.0;;512.0;1.0;1.0;;;;86.0;330.0;;6.0;;2.65;1.0;3.0;;;;;357.26;26.15;274.52;;36190.0;29909.0
669;669;15.6;60.0;250.0;10.0;3.4;4.6;15.0;12.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;0.0;;54.0;65.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;;24990.0;20653.0
670;670;15.6;144.0;250.0;8.0;3.3;4.4;45.0;12.0;16.0;3200.0;2.0;3.0;;4.0;95.0;1600.0;;;1000.0;;1000.0;1.0;2.0;;1.0;;57.0;230.0;5.5;4.0;;2.6;;1.0;1.0;2.0;;;360.4;25.9;271.09;;24990.0;20653.0
671;671;14.0;60.0;;10.0;;4.6;15.0;12.0;16.0;3200.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;39.3;65.0;6.0;3.0;;1.4;1.0;;;1.0;2.0;;319.9;19.35;223.0;;17990.0;14868.0
672;672;15.6;165.0;300.0;8.0;1.5;4.6;95.0;12.0;16.0;5200.0;2.0;2.0;;6.0;95.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;170.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;;30790.0;25446.0
673;673;17.3;60.0;;8.0;1.5;4.4;45.0;12.0;16.0;;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;50.0;90.0;;3.0;;2.2;1.0;3.0;;;;;402.1;19.9;257.85;;19890.0;16438.0
674;674;136.0;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;512.0;;512.0;;;;;;53.0;;;;18.0;124.0;2.0;;2.0;;;;304.0;113.0;215.0;;38990.0;32223.0
675;675;14.0;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;52.5;65.0;13.0;;;1.55;1.0;2.0;;;;;313.1;17.8;224.9;;24499.0;20247.0
676;676;13.3;60.0;400.0;8.0;;;;;16.0;;;;;;;;;;512.0;;512.0;;;;;;50.0;30.0;18.0;;;1.25;2.0;;;;;;304.1;15.6;212.4;;41990.0;34702.0
677;677;14.0;60.0;250.0;10.0;1.3;4.6;15.0;12.0;8.0;4800.0;;;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.62;;1.0;2.0;;;;314.0;17.47;226.56;;24390.0;20157.0
678;678;15.6;144.0;;6.0;2.7;4.5;45.0;12.0;16.0;3200.0;;2.0;;4.0;60.0;;;;1000.0;;1000.0;1.0;2.0;;;;;120.0;;;;2.0;1.0;2.0;;;1.0;;360.2;20.5;243.5;;16990.0;14041.0
679;679;15.6;60.0;250.0;2.0;3.0;4.1;28.0;6.0;8.0;3200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.79;1.0;2.0;;;1.0;;361.0;18.06;240.95;;19990.0;16521.0
680;680;17.3;144.0;300.0;12.0;3.3;4.5;45.0;18.0;16.0;;2.0;2.0;;6.0;140.0;2455.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;230.0;5.5;4.0;;3.0;1.0;1.0;;2.0;;;400.5;27.9;294.48;;29290.0;24207.0
681;681;13.4;60.0;500.0;12.0;1.9;4.6;28.0;12.0;16.0;6000.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;55.0;60.0;;3.0;;1.26;;;2.0;;;;295.3;15.28;199.04;;51490.0;42554.0
682;682;17.3;240.0;300.0;12.0;3.0;5.2;55.0;64.0;32.0;4800.0;2.0;2.0;;16.0;175.0;2090.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;330.0;;4.0;;3.0;2.0;;;2.0;;;395.0;28.3;282.0;;78490.0;64868.0
683;683;15.6;60.0;;10.0;1.2;4.7;15.0;12.0;32.0;;2.0;2.0;;4.0;45.0;1477.0;;;1000.0;;1000.0;1.0;2.0;;;;50.0;90.0;7.5;3.0;;1.76;1.0;3.0;;;;;362.9;17.9;237.8;;24990.0;20653.0
684;684;13.3;60.0;400.0;8.0;;;;;16.0;;;;;;;;;;1000.0;;1000.0;;;;;;50.0;;18.0;;;1.25;2.0;;;;;;304.1;15.6;212.4;;46990.0;38835.0
685;685;15.6;120.0;250.0;5.0;1.6;4.5;15.0;10.0;8.0;2666.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.63;1.0;1.0;;;1.0;;358.5;17.5;235.56;;16190.0;13380.0
686;686;16.2;120.0;1000.0;12.0;;;;;32.0;;;;;;;;;;1000.0;;1000.0;;;;;;100.0;;22.0;;;2.15;3.0;;3.0;;;;355.7;16.8;248.1;;93190.0;77017.0
687;687;133.0;60.0;550.0;10.0;12.0;5.0;15.0;12.0;32.0;5200.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;63.0;65.0;;4.0;;1.0;;;2.0;1.0;;;2962.0;118.0;2163.0;;40990.0;33876.0
688;688;16.0;240.0;1100.0;16.0;2.5;5.4;55.0;64.0;32.0;4800.0;2.0;2.0;;16.0;165.0;2090.0;;;2000.0;;2000.0;1.0;2.0;0.0;0.0;;90.0;330.0;;4.0;;2.67;2.0;;;2.0;;;355.0;29.7;266.0;;107990.0;89248.0
689;689;16.0;60.0;400.0;10.0;1.2;5.0;55.0;12.0;32.0;5200.0;1.0;1.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;52.5;65.0;10.0;;;1.67;;2.0;2.0;;;;361.9;20.5;255.5;;48290.0;39909.0
690;690;15.6;240.0;300.0;14.0;2.5;5.0;45.0;24.0;32.0;4800.0;2.0;2.0;;16.0;150.0;1445.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;280.0;10.5;4.0;;2.3;1.0;2.0;1.0;;;;354.0;27.2;259.0;;75990.0;62802.0
691;691;18.0;240.0;500.0;24.0;2.8;5.6;55.0;36.0;64.0;4800.0;2.0;2.0;;16.0;175.0;0.0;;;4000.0;;4000.0;2.0;2.0;;;;90.0;330.0;;4.0;;3.1;1.0;;1.0;2.0;;;399.0;30.8;294.0;;110490.0;91314.0
692;692;16.2;120.0;1000.0;;;;;;16.0;;;;;;;;;;512.0;;512.0;;;;;;100.0;;22.0;;;2.15;3.0;;3.0;;;;355.7;16.8;248.1;;66090.0;54620.0
693;693;14.0;60.0;400.0;14.0;1.4;5.2;28.0;24.0;64.0;7500.0;0.0;0.0;;4.0;;;;;2000.0;;2000.0;1.0;1.0;;;;52.5;100.0;;;;1.34;;2.0;2.0;;;;317.7;17.9;226.9;;64190.0;53050.0
694;694;15.6;240.0;;14.0;4.0;5.2;115.0;24.0;16.0;5200.0;1.0;2.0;;8.0;110.0;2175.0;4608.0;;1000.0;;1000.0;1.0;1.0;;;;80.0;230.0;;;;2.01;;;2.0;3.0;;;355.0;16.99;235.0;;74990.0;61975.0
695;695;15.6;120.0;250.0;10.0;1.3;4.4;15.0;12.0;8.0;2666.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.9;;2.0;;;1.0;;358.5;18.99;235.56;;17390.0;14372.0
696;696;18.0;240.0;;24.0;1.6;5.5;55.0;36.0;32.0;5600.0;;;;8.0;140.0;2175.0;4608.0;;1000.0;;1000.0;1.0;1.0;;;;91.7;280.0;;;;3.1;1.0;;1.0;3.0;;;275.4;21.9;399.9;;85990.0;71066.0
697;697;16.0;60.0;300.0;6.0;2.0;4.5;15.0;16.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;57.0;65.0;;;;1.81;2.0;2.0;;;;;356.1;19.85;247.5;;21990.0;18174.0
698;698;16.0;165.0;300.0;14.0;1.9;4.9;55.0;24.0;16.0;4800.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;1.0;;;;86.0;330.0;;6.0;;2.87;1.0;3.0;;;;;356.98;24.9;288.73;;39990.0;33050.0
699;699;14.0;120.0;500.0;14.0;1.4;5.2;28.0;24.0;64.0;4800.0;2.0;2.0;;;;;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;51.0;65.0;14.0;3.0;;1.45;;1.0;2.0;;;;315.6;19.9;224.3;;52290.0;43215.0
700;700;16.0;240.0;500.0;8.0;4.0;5.2;54.0;16.0;16.0;4800.0;2.0;2.0;;8.0;95.0;2500.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;240.0;;4.0;;2.2;2.0;2.0;;;;;355.0;26.8;252.0;;42790.0;35364.0
701;701;14.0;60.0;300.0;6.0;2.9;4.5;28.0;16.0;8.0;6400.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;0.0;;52.5;45.0;;;;1.32;2.0;2.0;;;;;317.6;17.9;226.9;;28790.0;23793.0
