attribute;value;rating;rating_count
Colour;;4.813333333333333;15.0
Computer memory (RAM) size [GB];1.0;4.1;7.0
Computer memory (RAM) size [GB];2.0;3.4672727272727273;55.0
Computer memory (RAM) size [GB];3.0;4.564778761061946;565.0
Computer memory (RAM) size [GB];4.0;4.5252173913043485;690.0
Computer memory (RAM) size [GB];6.0;4.708666666666667;150.0
Computer memory (RAM) size [GB];8.0;4.652291666666668;480.0
Computer memory (RAM) size [GB];12.0;4.964285714285714;28.0
Computer memory (RAM) size [GB];16.0;5.0;3.0
Computer memory (RAM) size [GB];;5.0;5.0
Computer memory (RAM) size [GB];;4.9;62.0
Computer memory (RAM) size [GB];;5.0;21.0
Computer memory (RAM) size [GB];;4.8;33.0
Computer memory (RAM) size [GB];;4.9;11.0
Computer memory (RAM) size [GB];;5.0;9.0
Computer memory (RAM) size [GB];;4.9;8.0
Computer memory (RAM) size [GB];;5.0;5.0
Computer memory (RAM) size [GB];;5.0;3.0
Computer memory (RAM) size [GB];;5.0;3.0
Computer memory (RAM) size [GB];;5.0;5.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;4.0
Computer memory (RAM) size [GB];;5.0;4.0
Computer memory (RAM) size [GB];;4.9;8.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;4.0
Computer memory (RAM) size [GB];;5.0;3.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;3.0
Computer memory (RAM) size [GB];;5.0;1.0
Computer memory (RAM) size [GB];;4.8;4.0
Computer memory (RAM) size [GB];;5.0;1.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;3.0
Computer memory (RAM) size [GB];;5.0;1.0
Computer memory (RAM) size [GB];;5.0;1.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;4.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;2.0
Computer memory (RAM) size [GB];;5.0;5.0
Country;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];4.512195121951217;1025.0
Country;;4.6683587140439915;1182.0
Degree of protection;['IP52', 'IP53'];4.6;17.0
Degree of protection;['IP52', 'IP54'];4.9;13.0
Degree of protection;['IP52'];4.624615384615385;65.0
Degree of protection;['IP53'];4.0;2.0
Degree of protection;['IP54'];3.4523809523809526;21.0
Degree of protection;['IP68', 'IP69K'];4.2;20.0
Degree of protection;['IP68'];4.8;40.0
Degree of protection;;4.605224248398224;2029.0
Depth [mm];5.0;3.875;8.0
Depth [mm];5.5;4.618181818181818;33.0
Depth [mm];5.63;4.25;4.0
Depth [mm];5.7;5.0;16.0
Depth [mm];5.9;4.959722222222222;72.0
Depth [mm];6.1;4.916915422885572;201.0
Depth [mm];6.3;4.857333333333333;75.0
Depth [mm];6.4;5.0;31.0
Depth [mm];6.5;4.773809523809524;84.0
Depth [mm];6.8;4.2;21.0
Depth [mm];6.9;4.721232876712329;146.0
Depth [mm];7.0;4.721904761904762;210.0
Depth [mm];7.1;4.5;2.0
Depth [mm];7.3;5.0;1.0
Depth [mm];7.35;4.6;27.0
Depth [mm];7.4;4.464444444444444;45.0
Depth [mm];7.45;4.530434782608696;23.0
Depth [mm];7.5;4.840655737704918;305.0
Depth [mm];7.55;4.9;13.0
Depth [mm];7.6;4.729166666666667;48.0
Depth [mm];7.65;5.0;3.0
Depth [mm];7.7;1.0;1.0
Depth [mm];8.0;4.607407407407408;27.0
Depth [mm];8.3;4.521052631578947;19.0
Depth [mm];8.5;4.420833333333333;72.0
Depth [mm];8.9;4.35531914893617;47.0
Depth [mm];8.95;4.4;12.0
Depth [mm];9.0;3.871428571428571;49.0
Depth [mm];9.15;3.7124999999999995;8.0
Depth [mm];9.2;4.4;15.0
Depth [mm];9.3;4.0588235294117645;17.0
Depth [mm];9.55;3.4;12.0
Depth [mm];9.9;3.89;60.0
Depth [mm];10.0;3.4;14.0
Depth [mm];10.7;3.6736842105263157;19.0
Depth [mm];10.8;3.8;16.0
Depth [mm];11.0;2.0;8.0
Depth [mm];14.0;4.111111111111111;18.0
Depth [mm];14.9;5.0;1.0
Depth [mm];15.6;5.0;1.0
Depth [mm];29.5;3.6583333333333337;12.0
Depth [mm];46.0;3.933333333333333;9.0
Depth [mm];79.0;3.7000000000000006;6.0
Depth [mm];84.0;3.6;5.0
Depth [mm];119.82;4.8;24.0
Depth [mm];124.7;4.63394495412844;109.0
Depth [mm];136.76;4.523076923076924;52.0
Depth [mm];153.9;4.375;12.0
Depth [mm];157.0;5.0;1.0
Depth [mm];158.8;4.508620689655173;58.0
Depth [mm];160.34;5.0;6.0
Depth [mm];164.0;4.6;36.0
Depth [mm];169.0;4.0;2.0
Depth [mm];169.4;4.35;8.0
Depth [mm];170.2;3.0;1.0
Depth [mm];185.0;4.56949152542373;59.0
Depth [mm];257.04;4.7;3.0
Depth [mm];290.0;2.0;1.0
Depth [mm];;5.0;5.0
Depth [mm];;4.6;7.0
Depth [mm];;5.0;3.0
Depth [mm];;3.8;4.0
"Display size [""]";7.0;3.7124999999999995;8.0
"Display size [""]";7.9;5.0;2.0
"Display size [""]";8.0;3.89468085106383;94.0
"Display size [""]";8.3;4.889285714285714;56.0
"Display size [""]";8.4;3.0;1.0
"Display size [""]";8.7;4.63394495412844;109.0
