id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Display technology;Screen fineness [PPI];Computer memory (RAM) size [GB];Storage Capacity [GB];Memory card type;Max. memory card size [GB];Wireless technology;Tablet connectors;Sensors;Main (rear) camera resolution [Mpx];Front-facing (selfie) camera resolution [Mpx];Maximum video resolution;Supported resolutions and frame rates (FPS);Camera functions;Battery capacity [mAh];Charging performance [W];Number of processor cores;Processor frequency [GHz];Processor model;Functions;Operating system;Operating system version;Height [mm];Width [mm];Depth [mm];Weight [kg];Colour;Package includes;Series;Country;Storage capacity [GB];Main rear camera aperture [f/];Front Camera Aperture [f/];Degree of protection;Graphics chip;Supported cellular networks;Primary SIM card type;Secondary SIM Card Type;Special event;Supported formats;User interface language;Equipment;Internal memory [GB];Suitable for;Usage;Must additionally purchase AA batteries;Battery type
159;Oscal Pad 15 šedý;4499;3718;;;In stock > 5 pcs;10.36;2000 × 1200 px;['IPS'];225.0;8.0;;['Micro SD', 'TF Card'];512.0;['WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor', 'G-sensor'];13.0;16.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];8280.0;33.0;8.0;1.6;ARM Cortex A55;['OTG', 'Quick charge'];['Google Android'];Android 13;156.3;246.5;7.6;0.449;['Grey'];['Charger (adapter with cable)'];;;256.0;2.2;2.2;;Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
160;Google Pixel Tablet 8GB/128GB růžová;16490;13628;;;In stock;10.95;2560 × 1600 px;['IPS'];276.0;8.0;128.0;;;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor'];8.0;8.0;;['1080p (Full HD) 30fps'];;;;8.0;2.85;Google Tensor G2;;['Google Android'];Android 13;169.0;258.0;8.1;0.493;['Pink'];['Charging stand'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;2.0;;ARM G710 MP7;;;;;;;;;;;;
161;Doogee T10 Pro LTE 8GB/256GB černý;4789;3958;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];224.0;8.0;;['Micro SDXC'];1000.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor'];13.0;8.0;2560 × 1440 px;;['Flash function'];8580.0;18.0;8.0;1.6;Unisoc T606;['OTG', 'Quick charge'];['Google Android'];Android 12;242.3;161.1;8.5;0.5680000000000001;['Pink'];['Charger (adapter with cable)', 'Case', 'Stylus'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];256.0;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
162;iGET SMART L30 LTE 4GB/128GB modrý + iPEN 2;3499;2892;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];;4.0;128.0;['SDHC'];256.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];5.0;2.0;1080 × 540 px;;;7.0;10.0;8.0;1.6;UNISOC SC9863;['VoLTE/GSM', 'OTG', 'Quick charging'];['Google Android'];Android 13;160.1;241.2;8.3;0.562;['Blue'];['Charger (adapter with cable)', 'Charging cable', 'Stylus'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali G57 M1;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
163;"iPad 10.9"" 256GB WiFi Cellular Pink 2022";21990;18174;;;In stock 1 pcs;11.0;2360 × 1640 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth', 'A-GPS'];['USB-C'];['Gyroscope', 'Light sensor'];12.0;;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;;;Apple A14 Bionic;['Quick charge'];['iPadOS'];;247.6;178.5;5.9;0.468;['Pink'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;['5G', '4G/LTE', '3G'];;;Digital student SK;;;;;;;;
164;Lenovo Tab M9 4GB/64GB šedý;3590;2967;;;In stock > 5 pcs at the partner's;9.0;1340 × 800 px;['IPS'];;4.0;;['Micro SD'];2048.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor'];8.0;2.0;;;;5100.0;;8.0;2.0;MediaTek Helio G80;['Gorilla Glass'];['Google Android'];Android 12;79.9;215.43;136.76;0.344;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;;64.0;;;;ARM Mali-G52;;;;;;;;;;;;
165;Samsung Galaxy Tab S9 FE+ 12GB/256GB stříbrná;19490;16107;;;In stock > 5 pcs;12.4;2560 × 1600 px;['TFT'];244.0;12.0;;['Micro SD'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;10090.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;185.4;285.4;6.5;0.627;['Silver'];;Samsung Galaxy Tab;;256.0;1.9;2.4;['IP68'];ARM Mali G68 MP5;;;;;;;;;;;;
166;Samsung Galaxy Tab S9 5G 12GB/256GB grafitová;27499;22726;;;In stock > 5 pcs;11.0;2560 × 1600 px;['AMOLED'];275.0;12.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Light sensor'];13.0;12.0;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Optical zoom'];8400.0;45.0;8.0;3.2;Qualcomm Snapdragon 8 Gen 2;['Image transmission to TV', 'Barcode reader', 'Quick charge', 'Water-resistant'];['Google Android'];Android 13;254.3;165.8;5.9;0.5;['Grafite'];['Charging cable', 'Stylus'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];256.0;2.0;2.4;['IP68'];Adreno 740;['5G', '4G/LTE', '3G'];Nano SIM;eSIM;Digital student SK;;;;;;;;
167;Oscal Pad 15 zelený;4499;3718;;;In stock > 5 pcs;10.36;2000 × 1200 px;['IPS'];225.0;8.0;;['Micro SD', 'TF Card'];512.0;['WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor', 'G-sensor'];13.0;16.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];8280.0;33.0;8.0;1.6;ARM Cortex A55;['OTG', 'Quick charge'];['Google Android'];Android 13;156.3;246.5;7.6;0.449;['Green'];['Charger (adapter with cable)'];;;256.0;2.2;2.2;;Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
168;Doogee T10E LTE 4GB/128GB šedý;3089;2553;;;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];149.0;4.0;128.0;['Micro SDXC'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor', 'Proximity sensor', 'G-sensor'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 60fps'];['Flash function'];6.58;10.0;8.0;1.6;Unisoc T606;['OTG', 'Quick charging'];['Google Android'];Android 13;240.8;159.8;8.7;0.427;['Black'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
169;Doogee T10 Pro LTE 8GB/256GB růžový;4789;3958;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];224.0;8.0;;['Micro SDXC'];1000.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor'];13.0;8.0;2560 × 1440 px;;['Flash function'];8580.0;18.0;8.0;1.6;Unisoc T606;['OTG', 'Quick charge'];['Google Android'];Android 12;242.3;161.1;8.5;0.5680000000000001;['Black'];['Charger (adapter with cable)', 'Case', 'Stylus'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];256.0;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
170;iGET Blackview Active G8 Pro LTE 8GB/256GB černý;8999;7437;;;In stock 4 pcs at the partner's;10.36;2000 × 1200 px;['IPS'];225.0;8.0;256.0;['SDXC'];1.024;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Digital compass', 'Gyroscope', 'Light sensor', 'G-sensor'];48.0;16.0;2048 × 1080 px;;['Flash function'];22.0;33.0;8.0;2.2;MediaTek Helio G99;['VoLTE/GSM', 'OTG', 'Image transmission to TV', 'Quick charging', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;165.8;256.3;16.8;0.976;['Black'];['Charger (adapter with cable)', 'Charging cable', 'Screen Protector'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.2;['IP69K'];ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
171;Blackview TAB GA7 Kids 3GB/64GB modrý;2499;2065;;;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];149.0;3.0;;['SDXC'];1024.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];5.0;2.0;720 × 480 px;['240p (QVGA)'];['Flash function'];6000.0;10.0;4.0;1.5;Rockchip 3326;['OTG', 'Image transmission to TV', 'Quick charge'];['Google Android'];Android 12;163.0;247.0;9.9;0.52;['Blue'];['Charger (adapter with cable)', 'Charging cable', 'Case', 'Screen Protector'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];64.0;2.0;2.8;;Mali G31;;;;;;;;;;;;
172;iGET SMART L31 LTE 6GB/128GB modrý + iPEN 2;3999;3305;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];;6.0;128.0;['SDHC'];256.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];5.0;2.0;1080 × 540 px;;;7.0;10.0;8.0;1.6;Unisoc T606;['VoLTE/GSM', 'OTG', 'Quick charging'];['Google Android'];Android 13;160.1;241.2;8.3;0.562;['Blue'];['Charger (adapter with cable)', 'Charging cable', 'Stylus'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali G57 M1;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
173;Doogee T20 mini LTE 4GB/128GB fialový;3419;2826;;;In stock > 5 pcs;8.4;1920 × 1200 px;['IPS'];269.0;4.0;;['Micro SDXC'];1000.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Gyroscope'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 60fps'];['Flash function'];5060.0;10.0;8.0;1.6;Unisoc T606;['Quick charge'];['Google Android'];Android 13;202.5;125.8;7.4;0.33;['Violet'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];128.0;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
174;"iPad Pro 11"" 1TB M2 Space Grey 2022";48790;40322;;;In stock 1 pcs;11.0;2388 × 1668 px;['IPS'];264.0;16.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;['2160p (4K) 60fps', '2160p (4K) 30fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];;7538.0;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Grey'];;Apple iPad;;1000.0;;;;;;;;;;;;;;;;
175;"iPad Pro 11"" 1TB M2 Silver 2022";44290;36603;;;In stock 2 pcs;11.0;2388 × 1668 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;;;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Silver'];;Apple iPad;;1000.0;;;;;;;;;;;;;;;;
176;UMAX VisionBook 10T LTE 4GB/64GB šedý;3019;2495;;;In stock > 5 pcs;10.1;1920 × 1080 px;['IPS'];;4.0;64.0;['Micro SD'];128.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];5.0;2.0;1920 × 1080 px;;['Flash function'];6.0;10.0;8.0;1.8;;['Quick charging'];['Google Android'];Android 12;166.0;251.0;9.0;0.5;['Grey'];['Charger (adapter with cable)'];UMAX Visionbook;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Mali-G52;['4G/LTE'];Micro SIM;;Digital student SK;;;;;;;;
177;HONOR Pad X8 LTE 4GB/64GB modrý;4290;3545;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];224.0;4.0;64.0;;512.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'USB 2.0'];['Motion sensor', 'Light sensor', 'Fingerprint reader'];5.0;2.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];;5.1;10.0;8.0;2.0;MediaTek MT8786, MediaTek MT8786;['VoLTE/GSM', 'OTG', 'Quick charging'];['Google Android'];Android 12;240.2;159.0;7.55;0.46;['Blue'];['Charging cable'];;;;2.2;2.4;;ARM Mali-G52;['4G/LTE', '3G'];Nano SIM;;;;;;;;;;
178;Acer Enduro T1 4GB/64GB black durable;14990;12388;2.0;1.0;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];;4.0;64.0;;;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope', 'Light sensor', 'G-sensor'];;;1600 × 1200 px;;;4.87;45.0;4.0;2.2;Intel Celeron N3450;['Quick charging', 'Gorilla Glass'];['Microsoft Windows'];Windows 10 Pro;11.7;178.0;290.0;0.9;['Black'];['Charging cable'];Acer Enduro;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['IP54'];Intel HD Graphics;;;;;;;;;;;;
179;Alcatel 1T 7 2023 KIDS 2GB/32GB bumper case žlutý;1999;1652;;;In stock > 5 pcs;7.0;1024 × 600 px;['TN'];;2.0;32.0;['Micro SD'];128.0;['WiFi', 'Bluetooth'];['micro USB 2.0'];['G-sensor'];2.0;2.0;;['720p (HD) 30fps'];;2.58;5.0;4.0;1.3;MediaTek MT8167;['OTG'];['Google Android'];Android 12 (Go edition);189.5;111.0;9.15;0.245;['Yellow'];['Charger (adapter with cable)', 'Case'];Alcatel 1T;;;2.4;2.4;['IP54'];IMG GE8300;;;;;;;;;;;;
180;iGET Blackview TAB G7 WiFi 3GB/64GB Grey;2379;1966;;;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];149.0;3.0;64.0;['Micro SDXC'];1.024;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];5.0;2.0;1280 × 720 px;['720p (HD) 30fps', '480p (VGA)'];['Flash function'];6.0;10.0;4.0;1.5;;['OTG', 'Image transmission to TV', 'Quick charging'];['Google Android'];Android 12;265.0;186.0;5.0;0.52;['Grey'];['Charger (adapter with cable)', 'Charging cable', 'Screen Protector'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;2.8;;;;;;;;;;;;;;
181;iGET SMART W30 WiFi 3GB/64GB šedý;2499;2065;;;In stock 3 pcs;10.1;1280 × 800 px;['IPS'];;3.0;64.0;['SDHC'];128.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];5.0;2.0;1080 × 540 px;;;5.0;10.0;4.0;1.6;Allwinner A133;['OTG', 'Quick charging'];['Google Android'];Android 13;161.2;244.75;8.6;0.515;['Grey'];['Charger (adapter with cable)', 'Charging cable'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;IMG GE8300;;;;;;;;;;;;
182;Hotwav R5 4GB/64GB šedý;4999;4131;;;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];149.0;4.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'G-sensor'];16.0;16.0;1280 × 720 px;['720p (HD) 30fps'];['Flash function'];15600.0;10.0;8.0;2.0;MediaTek MT6762;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 12;168.5;252.5;15.5;0.96;['Grey'];['Charger (adapter with cable)'];;;64.0;2.0;2.2;['IP68', 'IP69K'];PowerVR GE8320;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
183;Alcatel 1T 7 2023 KIDS 2GB/32GB bumper case modrý;1999;1652;1.0;1.0;In stock > 5 pcs;7.0;1024 × 600 px;['TN'];;2.0;32.0;['Micro SD'];128.0;['WiFi', 'Bluetooth'];['micro USB 2.0'];['G-sensor'];2.0;2.0;;['720p (HD) 30fps'];;2.58;;4.0;1.3;MediaTek MT8167;['OTG'];['Google Android'];Android 12 (Go edition);189.5;111.0;9.15;0.245;['Blue'];['Charger (adapter with cable)', 'Case'];Alcatel 1T;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.4;2.4;['IP54'];IMG GE8300;;;;;;;;;;;;
184;iGET Blackview TAB G13 LTE 6GB/128GB šedý;4389;3627;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];;6.0;128.0;['Micro SDXC', 'Micro SDHC'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor'];13.0;8.0;;;;7.28;;8.0;2.0;Helio G85;;['Google Android'];Android 12;238.8;157.6;7.7;0.45;['Grey'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G52 MC2;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
185;"iPad Pro 11"" 2TB M2 Space Grey 2022";54990;45446;;;In stock 3 pcs;11.0;2388 × 1668 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;;;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Grey'];;Apple iPad;;2000.0;;;;;;;;;;;;;;;;
186;iPad mini 64GB Cellular Purple 2021;18990;15694;;;In stock 5 pcs;8.3;2266 × 1488 px;['IPS'];326.0;;64.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Violet'];['Charger (adapter with cable)'];;;;1.8;2.4;;;['5G', '4G/LTE', '3G'];;eSIM;;;;;;;;;
187;Samsung Galaxy Tab S9 Wifi 12GB/256GB béžová;23999;19834;;;In stock > 5 pcs;11.0;2560 × 1600 px;['AMOLED'];275.0;12.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Fingerprint reader'];13.0;12.0;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Optical zoom', 'Flash function'];8400.0;45.0;8.0;2.8;Qualcomm Snapdragon 8 Gen 2;['Quick charge', 'Water-resistant'];['Google Android'];Android 13;;1658.0;;;;['Charging cable', 'Stylus'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];256.0;2.0;2.4;;Adreno 740;;;;;;;;;;;;
188;iPad mini 64GB Cellular Pink 2021;18990;15694;;;In stock;8.3;2266 × 1488 px;['IPS'];326.0;;64.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Pink'];['Charger (adapter with cable)'];;;;1.8;2.4;;;['5G', '4G/LTE', '3G'];;eSIM;;;;;;;;;
189;"iPad Pro 12.9"" 2TB M2 Space Grey 2022";63990;52884;;;In stock 3 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Grey'];['Charger (adapter with cable)'];Apple iPad;;2000.0;1.8;2.4;;;;;;;;;;;;;;
190;"iPad 10.9"" 64GB WiFi Cellular Yellow 2022";17490;14455;;;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];12.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A14 Bionic;;['iPadOS'];;248.6;179.5;7.0;0.477;['Yellow'];['Charger (adapter with cable)'];Apple iPad;;64.0;2.4;2.4;;;['5G', '4G/LTE', '3G'];;;Digital student SK;;;;;;;;
191;"Nubia Pad 3D 12.4"" 120Hz 8/128GB Wi-Fi 9070 mAh";34390;28421;;;In stock 2 pcs;12.4;2560 × 1600 px;['IPS'];243.0;8.0;128.0;['Micro SD'];1.024;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Light sensor'];16.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];9.07;33.0;8.0;2.84;Qualcomm Snapdragon 888 5G;['OTG', 'Quick charging', 'Gorilla Glass'];['Google Android'];Android 12;189.0;285.0;8.4;0.78;['Black'];['Charger (adapter with cable)'];;;;1.85;2.2;;Adreno 660;;;;;;;;;;;;
192;iGET Blackview TAB G13 LTE 6GB/128GB stříbrný;4399;3636;1.0;1.0;In stock 5 pcs;10.1;1920 × 1200 px;['IPS'];;6.0;128.0;['Micro SDXC', 'Micro SDHC'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor'];13.0;8.0;;;;7.28;;8.0;2.0;Helio G85;;['Google Android'];Android 12;238.8;157.6;7.7;0.45;['Silver'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G52 MC2;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
193;"iPad Pro 12.9"" 1TB M2 Silver 2022";52290;43215;;;In stock 2 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Silver'];['Charger (adapter with cable)'];Apple iPad;;1000.0;1.8;2.4;;;;;;;;;;;;;;
194;iGET Blackview TAB G5 3GB/64GB Blue;2290;1893;;;In stock > 5 pcs;8.0;1200 × 800 px;['IPS'];189.0;3.0;;['Micro SDXC'];1024.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];2.0;0.3;640 × 480 px;['480p (VGA)', '240p (QVGA)'];['Flash function'];5580.0;5.0;4.0;1.5;Rockchip 3326;['OTG'];['Google Android'];Android 12;245.0;168.0;5.0;0.34;['Blue'];['Charger (adapter with cable)', 'Charging cable'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];64.0;2.8;2.8;;;;;;;;;;;;;;
195;Acer Enduro T1;11790;9744;;;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];;4.0;64.0;;;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor'];5.0;;;;;6.0;10.0;8.0;2.0;MediaTek MT8385;['Quick charging', 'Gorilla Glass'];['Google Android'];Android 11;22.1;283.6;192.6;0.9;['Black', 'Blue'];['Case'];Acer Enduro;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['IP54'];Mediatek;;;;;;;;;;;;
