attribute;value;rating;rating_count
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.8;6.0
Boost clock [MHz];;2.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.9;8.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;3.8;4.0
Boost clock [MHz];;5.0;8.0
Boost clock [MHz];;5.0;23.0
Boost clock [MHz];;4.4;5.0
Boost clock [MHz];;3.4;10.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;2.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;4.2;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.8;8.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.2999999999999994;6.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.7;15.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.3;3.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;5.0;29.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.2;6.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.3;11.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.4;8.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;3.5;2.0
Boost clock [MHz];;4.0;3.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.3;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;6.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.3;3.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.6;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.4;6.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;5.0
Boost clock [MHz];;4.6;15.0
Boost clock [MHz];;4.6;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.4;7.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.8;4.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;5.0;8.0
Boost clock [MHz];;4.0;2.0
Boost clock [MHz];;4.6;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;2.0;2.0
Boost clock [MHz];;4.8;5.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;5.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.9;48.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.7;7.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;5.0;21.0
Boost clock [MHz];;5.0;21.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
